name,description,status,category,start_date,end_date,progress
Website Redesign,Complete redesign of company website with modern UI/UX principles and responsive design,active,design,2024-01-15,2024-06-30,65
Mobile App Development,Build native mobile application for iOS and Android platforms,active,development,2024-02-01,2024-12-31,45
Marketing Campaign Q1,Launch comprehensive marketing campaign for Q1 product release,active,marketing,2024-01-10,2024-03-31,80
Customer Support Portal,Develop new customer support portal with ticket system,on-hold,support,,,0
E-commerce Platform,Create full-featured e-commerce platform with payment integration,active,development,2024-03-01,2024-09-30,25
Brand Identity Refresh,Update company branding and visual identity across all channels,completed,design,2023-11-01,2024-01-15,100
Social Media Strategy,Develop and implement social media marketing strategy,active,marketing,2024-02-15,2024-08-31,55
API Integration Project,Integrate third-party APIs for enhanced functionality,active,development,2024-01-20,2024-05-15,70
Help Center Documentation,Create comprehensive help center with documentation and FAQs,on-hold,support,2024-04-01,2024-07-31,10
Product Launch Event,Organize and execute product launch event,completed,marketing,2023-12-01,2024-01-31,100
UI Component Library,Build reusable UI component library for design system,active,design,2024-02-10,2024-08-31,40
Legacy System Migration,Migrate legacy systems to modern architecture,cancelled,development,2023-10-01,2024-06-30,15
Customer Onboarding Flow,Design and implement new customer onboarding experience,active,design,2024-03-15,2024-07-31,30
Technical Support Training,Provide training for technical support team,completed,support,2024-01-05,2024-02-28,100
Content Marketing Initiative,Develop content marketing strategy and produce content,active,marketing,2024-02-01,2024-12-31,60
